total_reservas,porcentaje_cancelados,country
133,1.5037593984962405,GBR
1328,14.457831325301203,GBR
924,26.948051948051948,GBR
718,21.030640668523677,GBR
618,22.653721682847898,GBR
543,24.30939226519337,GBR
536,22.01492537313433,GBR
417,22.54196642685851,GBR
400,20.0,GBR
276,33.33333333333333,GBR
221,22.171945701357465,GBR
157,26.11464968152866,GBR
128,21.09375,GBR
2043,9.348996573666177,PRT
7273,27.320225491544065,PRT
3029,58.00594255529879,PRT
2317,65.47259387138541,PRT
2001,70.86456771614192,PRT
1549,69.20593931568753,PRT
1589,72.30962869729389,PRT
1086,72.74401473296501,PRT
754,85.80901856763926,PRT
836,75.95693779904306,PRT
1027,95.03407984420643,PRT
728,91.07142857142857,PRT
539,92.57884972170687,PRT
69,2.898550724637681,ITA
557,20.646319569120287,ITA
309,37.54045307443366,ITA
264,41.28787878787879,ITA
238,48.739495798319325,ITA
208,50.480769230769226,ITA
152,41.44736842105263,ITA
83,37.34939759036144,ITA
69,37.68115942028986,ITA
37,59.45945945945946,ITA
62,24.193548387096776,ITA
12,58.333333333333336,ITA
3,0.0,ITA
231,2.5974025974025974,ESP
2023,15.521502718734553,ESP
970,27.938144329896907,ESP
556,33.273381294964025,ESP
341,40.17595307917888,ESP
202,42.07920792079208,ESP
129,45.73643410852713,ESP
87,56.32183908045977,ESP
65,41.53846153846154,ESP
51,70.58823529411765,ESP
23,52.17391304347826,ESP
14,57.14285714285714,ESP
4,75.0,ESP
22,4.545454545454546,IRL
300,16.666666666666664,IRL
257,22.957198443579767,IRL
222,18.46846846846847,IRL
214,25.233644859813083,IRL
180,22.77777777777778,IRL
189,34.92063492063492,IRL
102,18.627450980392158,IRL
120,36.666666666666664,IRL
71,38.028169014084504,IRL
51,43.13725490196079,IRL
57,45.614035087719294,IRL
12,16.666666666666664,IRL
222,2.7027027027027026,FRA
1706,12.42672919109027,FRA
1068,16.38576779026217,FRA
707,23.62093352192362,FRA
642,24.45482866043614,FRA
384,21.09375,FRA
393,29.00763358778626,FRA
248,25.403225806451612,FRA
161,25.465838509316768,FRA
66,46.96969696969697,FRA
62,14.516129032258066,FRA
58,15.517241379310345,FRA
16,31.25,FRA
80,3.75,DEU
750,11.600000000000001,DEU
520,19.807692307692307,DEU
412,19.66019417475728,DEU
354,19.491525423728813,DEU
305,18.688524590163937,DEU
300,20.666666666666668,DEU
306,15.032679738562091,DEU
176,26.704545454545453,DEU
197,17.258883248730964,DEU
154,17.532467532467532,DEU
84,26.190476190476193,DEU
68,8.823529411764707,DEU
